Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Stegen_ICR_5_pp1_Nov20_1_01_24960,Stegen_ICR_6_pp1_Nov20_1_01_24954,Stegen_ICR_6_pp2_Nov20_1_01_24949,Stegen_ICR_6_pp3_Nov20_1_01_24963,Stegen_ICR_7_pp1_Nov20_1_01_24969,Stegen_ICR_7_pp2_Nov20_1_01_24970,Stegen_ICR_7_pp3_Nov20_1_01_24952,Stegen_ICR_8_pp1_Nov20_1_01_24966,Stegen_ICR_8_pp2_Nov20_1_01_24959,Stegen_ICR_8_pp3_Nov20_1_01_24947,Stegen_ICR_9_pp1_Nov20_1_01_24951,Stegen_ICR_9_pp2_Nov20_1_01_24946,Stegen_ICR_9_pp3_Nov20_1_01_24955,Stegen_ICR_10_pp1_Nov20_1_01_24948,Stegen_ICR_10_pp2_Nov20_1_01_24965,Stegen_ICR_10_pp3_Nov20_1_01_24950,Stegen_River_at_ICR2p1_Nov20_1_01_24962,Stegen_River_at_ICR2p2_Nov20_1_01_24968,Stegen_River_at_ICR3_Nov20_1_01_24971,Stegen_River_at_ICR6_Nov20_1_01_24958,Stegen_River_at_ICR7_Nov20_1_01_24945,Stegen_River_at_ICR8_Nov20_1_01_24957,Stegen_River_at_ICR9_Nov20_1_01_24956,Stegen_River_at_ICR10_Nov20_1_01_24964,Stegen_ICR_1_pp1_Nov20_1_01_24967,Stegen_ICR_2_pp1_Nov20_1_01_24953,Stegen_ICR_3_pp1_Nov20_1_01_24944,Stegen_ICR_4_pp1_Nov20_1_01_24961
106.824453314506,0,0,0,0,0,0,0,0,,None,107.831729781386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945663.8,0,0,0,0,0,0,0,0,0,0,0,0,0
106.865673346478,0,0,0,0,0,0,0,0,,None,107.872949813358,0,0,0,0,0,0,0,949052.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.877856208306,0,0,0,0,0,0,0,0,,None,107.885132675186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947921.6,0,0,0,0,0,0,0,0,0,0,0
106.896387996048,0,0,0,0,0,0,0,0,,None,107.903664462928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933803.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.917014393318,0,0,0,0,0,0,0,0,,None,107.924290860198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,953032.1,0,0,0,0,0,0,0,0,0
106.926645235326,0,0,0,0,0,0,0,0,,None,107.933921702206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061081.4,0,0,0,0,0
106.982351944911,0,0,0,0,0,0,0,0,,None,107.989628411791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938146
106.987690991923,0,0,0,0,0,0,0,0,,None,107.994967458803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968047.8,0,0,0,0,0,0,0,0,0,0,0,0
106.991045066417,0,0,0,0,0,0,0,0,,None,107.998321533297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938073.7,0
107.004743048682,0,0,0,0,0,0,0,0,,None,108.012019515562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970861.9,0,0,0,0,0
107.061263207743,0,0,0,0,0,0,0,0,,None,108.068539674623,0,0,0,0,944850.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.090837845381,0,0,0,0,0,0,0,0,,None,108.098114312261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065752.4,0,0,0,0,0,0,0,0,0,0,0
107.126778582193,0,0,0,0,0,0,0,0,,None,108.134055049073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935335.8,0,0,0,0
107.1348418241,0,0,0,0,0,0,0,0,,None,108.14211829098,0,0,0,0,0,0,0,0,0,0,0,0,960245.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.137191029813,0,0,0,0,0,0,0,0,,None,108.144467496693,0,0,0,0,938389.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.188750299334,0,0,0,0,0,0,0,0,,None,108.196026766214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947813,0,0,0,0,0,0,0,0,0,0,0,0,0
107.199699454279,0,0,0,0,0,0,0,0,,None,108.206975921159,0,0,0,1009414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
