,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,kmass,kdefect,NOSC,GFE,AI,AI_Mod,DBE,DBE_O,DBE_AI,ElComposition,bs1_class,bs2_class,bs3_class
567.7334892,0,0,0,0,0,0,0,0,,None,568.7407657,0,-1,NA,NA,NA,NA,NA,NA,567.099552914064,0.900447085936094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.7384455,0,0,0,0,0,0,0,0,,None,568.745722,0,-1,NA,NA,NA,NA,NA,NA,567.104503679815,0.895496320184975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.7392266,0,0,0,0,0,0,0,0,,None,568.746503,0,-1,NA,NA,NA,NA,NA,NA,567.105283907632,0.894716092368185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.7398176,0,0,0,0,0,0,0,0,,None,568.7470941,0,-1,NA,NA,NA,NA,NA,NA,567.105874247716,0.894125752284026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.7406548,0,0,0,0,0,0,0,0,,None,568.7479313,0,-1,NA,NA,NA,NA,NA,NA,567.106710512891,0.893289487109087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.7475926,0,0,0,0,0,0,0,0,,None,568.754869,0,-1,NA,NA,NA,NA,NA,NA,567.113640566081,0.886359433918528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.7480296,0,0,0,0,0,0,0,0,,None,568.7553061,0,-1,NA,NA,NA,NA,NA,NA,567.114077078123,0.885922921876613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.7484718,0,0,0,0,0,0,0,0,,None,568.7557482,0,-1,NA,NA,NA,NA,NA,NA,567.114518784359,0.885481215641221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.8015125,0,0,0,0,0,0,0,0,,None,568.808789,0,-1,NA,NA,NA,NA,NA,NA,567.167500258639,0.832499741360607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.8849086,0,0,0,0,0,0,0,0,,None,568.8921851,0,-1,NA,NA,NA,NA,NA,NA,567.250803237809,0.749196762190877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.0726312,0,0,0,0,0,0,0,0,,None,569.0799077,0,-1,NA,NA,NA,NA,NA,NA,567.438316225077,0.56168377492304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.0729589,0,0,0,0,0,0,0,0,,None,569.0802354,0,-1,NA,NA,NA,NA,NA,NA,567.438643559164,0.561356440835766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.074232,0,0,0,0,0,0,0,0,,None,569.0815084,0,-1,NA,NA,NA,NA,NA,NA,567.439915237609,0.560084762390602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.1098805,0,0,0,0,0,0,0,0,,None,569.117157,0,-1,NA,NA,NA,NA,NA,NA,567.475523932176,0.524476067824139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.121354,0,0,0,0,0,0,0,0,,None,569.1286305,0,-1,NA,NA,NA,NA,NA,NA,567.486984620763,0.513015379236776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.1217743,0,0,0,0,0,0,0,0,,None,569.1290507,0,-1,NA,NA,NA,NA,NA,NA,567.487404451452,0.512595548547552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.2204368,0,0,0,0,0,0,0,0,,None,569.2277133,0,-1,NA,NA,NA,NA,NA,NA,567.585956784024,0.414043215976449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.2208662,0,0,0,0,0,0,0,0,,None,569.2281426,0,-1,NA,NA,NA,NA,NA,NA,567.586385704552,0.413614295448269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
